Timestamp,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Key
54127.0,0.8383838383838385,0.47474747474747475,0.009006293291804194,0.01118525823916968,0.00612967828267331,0.006843133015542903,0.0012215796119688293,0.030424290850978825,0.03916103326837336,0.036669109988040585,4.0
55056.0,0.7777777777777779,0.595959595959596,0.0016310695690576913,0.003823336268823732,0.016003253668093173,0.021994804160789604,0.0005225374810763296,0.019995205753096285,0.024420709316648064,0.01998379692141507,0.0
56038.0,0.6565656565656567,0.7474747474747476,0.037205165380502996,0.01167557312050628,0.023153334555879753,0.014381218105131663,0.0019255052707218552,0.04606951658010387,0.052351570315798,0.14807813484562066,0.0
57043.0,0.6060606060606062,0.8686868686868688,0.02081347915020222,0.009838292072496216,0.01109006959436273,0.008469835648124315,0.0021682863700737414,0.03222053535757091,0.051796422767988806,0.04257166004397979,0.0
58203.0,0.36363636363636365,0.8383838383838385,0.007665046371623819,0.059126535633414044,0.020393526798278026,0.015500005147793141,0.0032887071906459514,0.005861765880942869,0.014763455099550677,0.010519141494026723,0.0
59952.0,0.47474747474747475,0.6262626262626264,0.0007572433871042722,0.000914241287712453,0.0011384207000107124,0.0004856084863085862,0.0008253162084289692,0.006903715541350379,0.014277700995217635,0.0025912066149711304,0.0
60475.0,0.5555555555555557,0.47474747474747475,0.0011502109385895588,0.0038473321031468936,0.005396150431310745,0.0018635011170711115,0.005747214645002407,0.038523371953655614,0.04233578330740717,0.025468410426552474,0.0
61562.0,0.5050505050505052,0.5252525252525253,0.017354493050067407,0.008577710909386131,0.009935307927366218,0.010436292628017036,0.0014308736631342483,0.014833399920095885,0.030382762668640526,0.014016948934583285,0.0
62073.0,0.7676767676767677,0.43434343434343436,0.0193589181116638,0.01385519473819345,0.00163409669857997,0.006635505358852659,0.00252548155072939,0.0332944466640032,0.05096370144627502,0.024999035531036613,0.0
65001.0,0.6666666666666667,0.4646464646464647,0.10065417112175166,0.017201013903986265,0.0028905354934881246,0.014094657620278186,0.0025631544799391654,0.033157011586096685,0.0252592134253182,0.014068387279297353,1.0
66047.0,0.5353535353535355,0.6262626262626264,0.002455502417367858,0.005583830646999681,0.01667323331451096,0.007397378743732561,0.0033877730415309165,0.016562524970035956,0.01049575832576752,0.012081581214716511,1.0
67017.0,0.6565656565656567,0.47474747474747475,0.0012144949095811443,0.005980561774475952,0.003050313837349277,0.002597919605198585,0.0014671512986695876,0.02677427087495006,0.01419095919087245,0.011187839975309595,1.0
67994.0,0.7474747474747476,0.5555555555555557,0.0017225925108084233,0.0037681458498804604,0.003046682511352433,0.004820050311098298,0.001349946630016953,0.03349900119856172,0.012936094421345423,0.01775265871944241,1.0
69628.0,0.7676767676767677,0.6262626262626264,0.0009976727023383383,0.005190298964099832,0.002427541428890466,0.010839536424068335,0.0017378382715101963,0.02014862165401518,0.02243143060366513,0.014422025899206565,1.0
69972.0,0.8686868686868688,0.5252525252525253,0.002088684277811352,0.001644514512280668,0.002661761955686929,0.004102791133441094,0.0027717508842673663,0.018854174990011987,0.02672225852527367,0.030400061726013658,1.0
